Week,Google_Search,Google_Display,Meta,Instagram,YouTube,TV,Radio,Influencer,Affiliate,Email,Discount,Price,Temperature,Competitor_Spend,Holiday,Sales,Revenue,Orders
2023-07-17,151068,41396,151341,189101,272075,286131,178617,65472,141951,98620,20.0,922.0,37.3,221559,0,3479731,3081591,3849
2023-07-24,61834,232836,186239,169457,233796,65631,206953,138547,28271,233619,5.0,947.0,23.3,326562,0,2210272,2945245,1960
2023-07-31,287303,108303,195956,231124,41686,169582,70339,270878,167154,219115,15.0,825.0,33.7,325209,0,1792391,2921886,3756
2023-08-07,160008,295671,71735,105579,225434,96240,162784,292276,5212,164317,10.0,954.0,32.7,132801,0,2342278,2795037,4944
2023-08-14,230385,173951,248787,236623,236819,273002,253085,49457,153785,275245,20.0,906.0,25.6,203323,0,1693946,2184440,1725
2023-08-21,128138,167749,122776,109401,82255,29229,133368,43182,243769,222286,15.0,869.0,33.8,356630,0,2723544,2604011,2409
2023-08-28,264196,214533,132918,82369,7907,227899,119735,276559,248557,31328,5.0,914.0,19.5,305806,0,1910445,1547287,1842
2023-09-04,68626,244317,74908,248606,283466,171355,237035,228735,292242,238787,20.0,953.0,23.2,340050,0,2919904,2908358,1857
2023-09-11,240966,140891,134624,150391,278311,130433,148968,45623,154803,127942,10.0,939.0,25.5,144434,0,1907791,2528580,2801
2023-09-18,172619,288195,47245,77547,84078,205820,85113,38674,222510,218699,5.0,940.0,37.7,260107,0,3478457,1617540,4231
2023-09-25,249278,222985,37645,113440,225276,15240,204429,8091,189422,161559,10.0,958.0,31.1,367819,0,3001484,3290556,3251
2023-10-02,287182,291330,120625,260972,120040,233503,259616,208873,181228,216978,5.0,971.0,20.0,321794,0,1525565,2096955,2912
2023-10-09,71913,285034,19138,211580,19209,229716,76145,100278,31363,141396,20.0,844.0,29.1,356713,0,3333543,2676571,1858
2023-10-16,115970,243393,176361,181947,203771,226021,137262,251576,15162,287810,10.0,962.0,23.9,336454,0,3055096,2371596,4791
2023-10-23,122556,40975,26106,21268,134647,15684,84892,71176,253282,64973,10.0,993.0,34.8,354074,0,3189618,3026728,3236
2023-10-30,139345,198407,92969,65048,90860,61674,18462,201768,212961,108981,20.0,948.0,19.8,364995,0,1792694,3252194,3905
2023-11-06,58425,163116,68467,26532,187034,229593,199285,270269,183903,11633,20.0,905.0,18.5,317910,0,1935754,2135921,3444
2023-11-13,60332,232291,194890,246035,85211,97346,278545,287157,258491,248727,20.0,802.0,27.5,143343,0,1638654,3456963,3919
2023-11-20,173980,133710,50436,151238,241350,248641,203699,20047,264158,175401,5.0,896.0,35.9,244102,0,1513880,2358701,4116
2023-11-27,116211,191030,140451,183435,151621,296394,10322,105168,49885,131540,5.0,813.0,35.7,339768,0,1866777,2665626,3392
2023-12-04,296072,130998,254609,262331,239972,53786,159264,217022,132561,165540,10.0,872.0,26.8,159355,0,1917873,1890083,4909
2023-12-11,295179,283355,185227,228086,293562,189450,242893,165758,136807,125868,10.0,975.0,21.0,292341,0,1588568,3225535,4884
2023-12-18,170438,67681,285947,102071,105422,258859,149965,153372,57704,106773,10.0,807.0,24.9,331403,0,2536203,2672897,4530
2023-12-25,194205,99079,163475,12417,285040,148818,28863,295119,158163,71206,20.0,956.0,34.8,229777,0,3159307,1505131,2130
2024-01-01,11430,154075,251099,255984,235932,101659,31936,255467,64814,39258,20.0,964.0,31.7,282754,0,1760417,2871145,4227
2024-01-08,43840,33106,84548,83222,164297,135123,67102,223195,123325,278978,10.0,929.0,19.6,161544,0,1876170,2531560,4317
2024-01-15,237113,160898,229830,165107,36578,113940,115637,47565,87343,130758,15.0,811.0,36.0,283831,0,1750304,3103730,2635
2024-01-22,44355,87068,6402,219180,241193,157703,22112,156049,153225,243043,10.0,974.0,33.1,172999,0,2755966,3063564,2981
2024-01-29,143702,108714,227895,65175,290507,83113,144267,42439,36267,91991,10.0,802.0,34.2,398883,0,3321053,2040879,4072
2024-02-05,235242,70197,250732,164431,216030,267391,288105,234511,47174,25898,15.0,998.0,31.7,188278,0,2282661,2574844,4502
2024-02-12,136264,18560,52881,125022,15876,26092,96850,277086,236855,150834,10.0,979.0,23.2,240164,0,1841515,2719817,1739
2024-02-19,262805,52837,251420,187431,219092,173326,59840,177912,220820,264768,20.0,988.0,29.1,315794,0,3341964,2953919,2054
2024-02-26,293409,24239,243459,51168,169897,174488,65776,274796,5603,289475,10.0,848.0,36.3,166525,0,2071831,2257414,3218
2024-03-04,33418,103347,276811,194676,266353,32059,111723,292949,73688,156010,0.0,973.0,21.0,268871,0,1602162,2107872,2694
2024-03-11,68662,20135,130460,88035,167922,12169,294538,53868,122807,64486,20.0,987.0,29.3,240885,0,2577656,1906459,4639
2024-03-18,85725,266292,158019,271795,148353,257968,252579,244487,294021,80834,15.0,809.0,35.6,148808,0,2755695,3078376,2184
2024-03-25,271464,76569,41600,149833,222549,271200,145075,153289,161529,261712,5.0,866.0,27.7,293499,0,3233971,3272082,4305
2024-04-01,287371,258934,185944,179294,294363,202766,243731,103908,130202,205787,0.0,864.0,26.1,101296,0,2937479,2963743,4319
2024-04-08,27883,171816,252975,204874,207416,264694,24408,268345,179060,57619,5.0,980.0,35.8,340359,0,3226616,1801397,1552
2024-04-15,280749,244561,13046,80578,219946,44231,251148,182503,213395,47108,20.0,881.0,27.5,380192,0,2282267,3133278,3486
2024-04-22,204234,171021,260825,288648,23821,128087,155669,52384,232526,56612,10.0,956.0,34.3,359373,0,1714785,1956919,2133
2024-04-29,92223,162006,20176,29112,175065,158809,192938,230803,81320,133029,10.0,939.0,35.2,168468,0,3167459,3381264,3788
2024-05-06,99401,94120,96786,46402,205563,265920,80034,246775,138157,245947,20.0,880.0,37.5,125380,0,2375238,2465720,1812
2024-05-13,248926,155801,291574,87824,43724,186175,161842,136123,244513,163398,0.0,932.0,26.3,182828,0,3436530,1536447,3464
2024-05-20,258340,60917,129364,204944,193197,159785,16502,148906,9245,30713,20.0,905.0,36.3,324290,0,1791533,3213454,3310
2024-05-27,125648,189717,119821,104683,136400,55941,25668,236118,22492,196292,10.0,822.0,35.3,258264,0,1861144,2988757,2747
2024-06-03,159722,176294,222843,97085,110274,287805,196814,268084,147882,91268,10.0,968.0,19.3,288971,0,1966318,1769933,4343
2024-06-10,159739,182584,65382,250540,44478,123287,213358,196771,52344,211870,5.0,874.0,35.0,186782,0,2144723,1762865,2359
2024-06-17,286318,69796,243438,198245,142448,199759,61804,252189,18120,299339,20.0,920.0,35.5,222758,0,2390880,2948750,4625
2024-06-24,38143,248409,163434,219064,66171,28774,24509,263277,65880,55956,10.0,828.0,27.1,100569,0,1539439,3124647,3483
2024-07-01,76127,208762,242839,199516,288216,86014,222518,261558,218970,151664,20.0,963.0,34.5,218589,1,1911777,1726109,1634
2024-07-08,118911,237460,238148,128791,195151,197589,290456,36745,213739,149641,10.0,809.0,22.8,280131,0,2483736,1749397,2536
2024-07-15,243402,53063,116204,16197,31517,132700,71020,40971,295564,113610,10.0,897.0,35.4,350452,0,2900030,1521542,4590
2024-07-22,177259,82360,6486,150371,80858,288228,136414,62633,18516,74102,0.0,871.0,34.8,153701,0,3429585,2762049,2341
2024-07-29,129744,174749,13273,96355,144129,71457,225704,64584,38322,254690,20.0,930.0,25.7,171895,0,1887515,2906351,2939
2024-08-05,274084,62175,241981,269156,121155,278390,163141,21331,36890,256124,10.0,810.0,30.9,174896,0,3273900,3064890,2636
2024-08-12,61603,262042,237554,43530,47357,82769,39436,149187,292496,175490,20.0,881.0,28.3,186044,0,2238623,1836713,3550
2024-08-19,159611,242877,270054,230548,56998,294058,117734,241744,124796,221957,20.0,841.0,20.6,179363,0,2558871,2695870,1779
2024-08-26,214049,223098,54852,168865,228747,138635,201241,253652,40197,52828,0.0,959.0,30.2,145449,0,2609055,1955077,4431
2024-09-02,231427,55627,200374,73217,296698,299433,299483,69084,220382,190387,5.0,960.0,25.5,301343,0,1860235,3390918,4588
2024-09-09,155800,168813,189363,59316,271030,86123,257806,61737,188560,296643,5.0,825.0,24.0,173311,0,3438255,1948822,3565
2024-09-16,151049,123572,229978,299107,296891,145219,20179,148272,166996,183165,15.0,988.0,18.1,249380,0,2268528,2964090,3914
2024-09-23,100108,80105,215126,41482,79383,53107,283125,202234,225113,242841,5.0,990.0,29.9,258151,0,1879266,3250581,2953
2024-09-30,199014,168387,175070,49541,32582,87528,31089,147660,237318,227305,10.0,982.0,24.7,254949,0,1949365,2578462,2432
2024-10-07,222151,148218,118020,273617,64673,230398,63138,260135,281265,166700,0.0,817.0,23.2,159110,0,1759240,2477066,1951
2024-10-14,212231,33721,9030,112176,163030,76950,138965,177030,67906,9052,0.0,941.0,28.3,106326,0,3098603,2257597,4386
2024-10-21,97114,72730,204338,284226,125644,297932,190685,213179,27178,233704,15.0,865.0,34.0,397995,0,1672486,2188107,3522
2024-10-28,45822,169133,230068,217034,223991,65384,217353,175272,95111,246223,15.0,960.0,32.4,138268,0,2458284,2759108,4515
2024-11-04,233962,60502,132567,233419,214951,46233,212495,183002,121167,179623,15.0,803.0,26.4,213111,0,1973690,2661645,3168
2024-11-11,272640,64782,283189,272361,106661,189077,82432,58899,81778,139201,0.0,935.0,37.9,308653,0,1895910,3296784,1785
2024-11-18,85147,44506,97875,264059,248245,174454,170747,235562,40801,250849,0.0,957.0,22.4,310909,0,3469397,2924241,3005
2024-11-25,149008,34450,189519,270990,43897,247086,241933,34826,198324,155511,0.0,810.0,31.4,262480,0,2909486,1720561,3123
2024-12-02,270849,206579,247594,295621,26507,103691,173572,267860,84094,37439,10.0,826.0,35.5,181462,0,1750017,1800663,3117
2024-12-09,185060,49212,269528,95470,25521,234511,235383,279070,88228,195787,0.0,954.0,32.8,134663,0,3054895,3440474,2191
2024-12-16,208117,219312,182401,32454,180452,177852,54548,207670,153974,137118,15.0,896.0,36.0,225114,0,2210162,1919982,3936
2024-12-23,47730,79149,188406,167650,210498,49417,167310,202488,177216,72000,5.0,920.0,32.9,160810,1,1757450,1988363,4932
2024-12-30,226986,271594,194702,14558,195105,99509,117298,259946,105666,123773,15.0,833.0,29.7,192089,0,2084095,3103937,4422
2025-01-06,45456,160080,58026,271175,287995,24790,181561,202509,85872,90064,5.0,961.0,35.3,185895,0,3086082,3155686,4780
2025-01-13,234466,27907,220408,195997,129534,154384,240367,284975,130393,167250,10.0,985.0,21.9,235920,0,2246790,2497880,4230
2025-01-20,197854,235999,247053,152729,205211,281540,224498,109699,77560,136073,5.0,941.0,26.3,240909,0,2516139,2572513,2642
2025-01-27,199622,295739,58786,275485,70367,48974,89049,240572,274144,82253,20.0,800.0,22.0,115391,0,1726569,1756251,2526
2025-02-03,121411,241520,188283,18982,222525,212856,268196,128615,207462,47784,20.0,936.0,35.2,133487,0,2817789,3476362,2051
2025-02-10,19778,172082,56948,180788,81571,25081,155407,77767,250948,240196,10.0,852.0,30.6,367796,1,3241291,1643085,3540
2025-02-17,14963,139177,118065,83391,292731,226907,63293,129591,162889,68883,20.0,964.0,23.5,187493,0,2302439,2767904,4282
2025-02-24,225109,244659,37929,63121,267054,13616,275205,80275,157710,230044,5.0,846.0,21.2,160468,0,2804358,2807013,1894
2025-03-03,131124,223401,103206,49886,279456,40483,280806,270985,271140,295535,0.0,848.0,26.7,106442,0,3162478,2477318,2327
2025-03-10,251486,27824,207837,200717,137985,192220,40420,131419,59349,179335,0.0,944.0,25.7,178687,0,2528129,2558631,2571
2025-03-17,189706,291268,182496,96797,248596,100566,75701,244955,24390,158848,20.0,964.0,37.0,319870,0,3497706,3102150,1629
2025-03-24,109579,26970,170463,167569,275209,289704,253197,24199,105193,155004,0.0,970.0,18.1,267738,0,2304530,2443960,2788
2025-03-31,179024,148244,70260,197948,234088,235548,207713,102946,265153,265845,20.0,849.0,24.9,162600,0,2463969,1575457,1634
2025-04-07,144838,48312,227560,46380,230762,290985,159018,58790,46979,176924,5.0,890.0,24.1,370414,0,3355350,2980713,2172
2025-04-14,238788,228407,92369,237735,189311,27206,189842,148946,35072,44343,0.0,859.0,23.8,343843,0,2155275,3000980,3093
2025-04-21,274004,88879,21326,79857,234728,71180,40249,197061,194871,205725,5.0,816.0,31.7,389979,0,2692975,2915629,3509
2025-04-28,240889,199492,200042,237752,45310,282589,197387,169828,151113,135868,10.0,914.0,21.8,395597,0,2498057,2679135,4999
2025-05-05,102542,266642,276447,207892,299478,142246,141466,117496,154724,262530,20.0,877.0,22.5,358663,0,2320793,2052370,3526
2025-05-12,76160,43824,242000,95521,238366,172556,187150,293356,289253,157233,10.0,944.0,29.8,386554,1,2793816,2918697,2944
2025-05-19,96273,194526,271734,122567,68628,77811,129117,18780,194213,295466,0.0,842.0,33.8,314977,0,2172101,1628815,1615
2025-05-26,294221,73037,50201,39470,167157,255958,280615,219661,43666,70707,15.0,855.0,30.5,105030,0,3255178,2268417,2928
2025-06-02,240916,249230,276245,185624,72284,100401,72650,268645,34052,70096,10.0,833.0,31.1,297276,0,3104728,3369281,4060
2025-06-09,164448,91327,89917,174167,123211,277051,153923,136389,107918,293799,10.0,913.0,25.6,377775,1,2397891,2223817,2963
2025-06-16,163767,284696,53983,268493,93413,94758,182009,19875,47584,28835,0.0,940.0,22.1,131402,0,2886720,2012185,2514
2025-06-23,223411,20878,266115,291039,156871,258202,133386,160941,242787,43258,0.0,954.0,31.2,148772,0,2742628,1678135,4318
2025-06-30,235479,222905,258887,248501,111966,80323,168883,186073,214042,73559,5.0,936.0,32.0,372503,0,1740063,2207986,2195
2025-07-07,299466,60670,172308,131740,249565,145232,240717,78860,55757,31531,0.0,959.0,30.4,144513,0,1578386,2466597,4194
2025-07-14,224223,135165,88728,176670,168952,88541,266234,249745,266493,166764,20.0,803.0,30.2,306753,0,2059140,1542786,4350
2025-07-21,52211,211172,269998,244720,131211,190018,30510,152511,264467,251723,20.0,947.0,26.2,168528,0,2163778,2292173,3836
2025-07-28,9287,61359,230930,75220,143659,216421,196856,215020,31821,299553,0.0,853.0,31.8,306020,0,3195183,2524162,1909
2025-08-04,295048,156310,43551,207558,269375,293283,151654,72456,55688,211518,20.0,938.0,31.4,242583,0,2204574,2541721,3559
2025-08-11,297464,196683,80637,109363,271926,267184,26105,25402,76846,179609,5.0,997.0,19.8,157133,0,1849442,2789387,2726
2025-08-18,244593,83087,275273,78285,176948,90197,211021,181356,270979,272236,20.0,856.0,30.9,264643,1,1923118,2542183,4102
2025-08-25,162176,253980,13722,198125,178664,223387,166311,253821,144214,124298,15.0,833.0,19.0,208861,0,3262405,3283280,3694
2025-09-01,94397,279848,204329,82477,131980,62616,105025,236231,169465,224561,15.0,822.0,25.2,162869,0,1599680,2123525,3849
2025-09-08,111897,220155,268097,252257,37653,276939,113706,175419,255804,280501,5.0,801.0,19.9,121144,0,2809823,3057949,1876
2025-09-15,95797,245996,284512,184477,291404,143601,258849,134247,151279,297598,20.0,841.0,20.8,230138,0,2741230,2206400,2619
2025-09-22,161035,156521,113673,261378,171220,187873,298856,155884,68897,289788,5.0,839.0,26.8,256678,0,2395705,1939854,2922
2025-09-29,185949,81795,157280,27054,155801,186594,236932,256175,117190,110941,5.0,967.0,24.9,312017,0,2558305,3186375,2728
2025-10-06,299659,147407,76970,62266,130452,31615,283418,127073,32520,57532,10.0,922.0,23.4,153428,0,1919591,2368879,3147
2025-10-13,252675,57714,77072,7716,293543,218336,254403,109572,155599,173384,15.0,993.0,31.0,132332,0,2908363,3101054,3742
2025-10-20,51903,126750,285573,24555,96784,97163,24052,264723,102680,156764,10.0,866.0,32.5,310020,0,2816684,2974993,3614
2025-10-27,161443,61256,180658,154192,243209,279893,263952,269352,250377,148045,5.0,970.0,36.2,235696,0,1946594,2885811,4874
2025-11-03,178373,90193,245603,139880,102621,181743,159677,97009,217593,229239,15.0,898.0,25.6,133801,0,2061902,3465373,4112
2025-11-10,50475,215152,55009,101878,78721,174660,135048,141726,206103,128480,10.0,809.0,35.6,148223,0,3460073,2687232,4476
2025-11-17,177818,163306,10995,142129,193508,37571,66983,165854,88737,217555,10.0,932.0,27.8,341694,0,2263939,2469904,2105
2025-11-24,66559,159684,197698,120788,119886,255705,85313,200887,223022,292957,20.0,947.0,23.2,307093,0,3270252,2413076,3180
2025-12-01,119510,134743,47923,280516,239224,194679,45948,37379,292125,270020,15.0,895.0,31.4,190600,0,2829442,1926892,4965
2025-12-08,83565,91264,177028,277808,236651,112689,261286,272583,238561,34169,0.0,966.0,32.5,333838,0,2854849,1836769,2550
2025-12-15,274089,222802,244493,35270,297970,166569,16413,138408,6580,119243,5.0,895.0,34.5,228862,0,2351162,2000135,1965
2025-12-22,227139,185632,38428,288725,36591,252501,21638,219364,99362,76003,10.0,889.0,36.7,388719,0,2015032,3171524,4888
